== ID ==,== Velocity (Kh/h) ==,== Atual route ==,== Distance traveled(m) ==,== Destination ==,== Distance from destination(m) ==,== TYPE ==,== Batery level(%) ==,== timestamp ==
veh_2,0.0,E21,0.0,E93,948.1,evehicle,1.0,271.5
veh_2,4.2,E21,0.6,E93,947.5,evehicle,1.0,272.0
veh_2,6.8,E21,1.5,E93,946.5,evehicle,1.0,272.5
veh_2,9.6,E21,2.9,E93,945.2,evehicle,1.0,273.0
veh_2,13.1,E21,4.7,E93,943.4,evehicle,1.0,273.5
veh_2,17.5,E21,7.1,E93,941.0,evehicle,1.0,274.0
veh_2,20.5,E21,9.9,E93,938.1,evehicle,1.0,274.5
veh_2,24.0,E21,13.3,E93,934.8,evehicle,1.0,275.0
veh_2,26.7,E21,17.0,E93,931.1,evehicle,0.9,275.5
veh_2,29.3,E21,21.0,E93,927.0,evehicle,0.9,276.0
veh_2,32.3,E21,25.5,E93,922.5,evehicle,0.9,276.5
veh_2,31.0,E21,29.8,E93,918.2,evehicle,0.9,277.0
veh_2,23.3,E23,39.8,E93,908.3,evehicle,1.0,278.5
veh_2,25.9,E23,43.4,E93,904.7,evehicle,0.9,279.0
veh_2,28.8,E23,47.4,E93,900.7,evehicle,0.9,279.5
veh_2,31.3,E23,51.7,E93,896.3,evehicle,0.9,280.0
veh_2,33.7,E23,56.4,E93,891.7,evehicle,0.9,280.5
veh_2,37.4,E23,61.6,E93,886.5,evehicle,0.9,281.0
veh_2,29.3,E23,65.7,E93,882.4,evehicle,0.9,281.5
veh_2,21.4,E23,68.6,E93,879.4,evehicle,0.9,282.0
veh_2,23.2,-E73,81.8,E93,866.2,evehicle,0.9,284.0
veh_2,27.7,-E73,85.7,E93,862.4,evehicle,0.9,284.5
veh_2,30.9,-E73,90.0,E93,858.1,evehicle,0.9,285.0
veh_2,35.3,-E73,94.9,E93,853.2,evehicle,0.9,285.5
veh_2,38.9,-E73,100.3,E93,847.8,evehicle,0.9,286.0
veh_2,38.8,-E73,105.7,E93,842.4,evehicle,0.9,286.5
veh_2,30.7,-E73,109.9,E93,838.2,evehicle,0.9,287.0
veh_2,22.6,-E73,113.0,E93,835.0,evehicle,0.9,287.5
veh_2,25.3,-E73,116.6,E93,831.5,evehicle,0.9,288.0
veh_2,24.0,-E7,126.4,E93,821.6,evehicle,0.9,289.5
veh_2,26.8,-E7,130.2,E93,817.9,evehicle,0.9,290.0
veh_2,31.5,-E7,134.5,E93,813.5,evehicle,0.9,290.5
veh_2,34.7,-E7,139.4,E93,808.7,evehicle,0.9,291.0
veh_2,38.9,-E7,144.8,E93,803.3,evehicle,0.9,291.5
veh_2,33.5,-E7,149.4,E93,798.7,evehicle,0.9,292.0
veh_2,25.4,-E7,152.9,E93,795.1,evehicle,0.9,292.5
veh_2,19.9,-E7,155.7,E93,792.4,evehicle,0.9,293.0
veh_2,31.1,-newton,176.1,E93,771.9,evehicle,0.9,295.5
veh_2,35.4,-newton,181.0,E93,767.0,evehicle,0.9,296.0
veh_2,38.6,-newton,186.4,E93,761.7,evehicle,0.8,296.5
veh_2,39.8,-newton,191.9,E93,756.1,evehicle,0.8,297.0
veh_2,31.7,-newton,196.3,E93,751.7,evehicle,0.9,297.5
veh_2,24.7,-newton,199.8,E93,748.3,evehicle,0.9,298.0
veh_2,29.4,-newton,203.9,E93,744.2,evehicle,0.9,298.5
veh_2,38.7,joulesD,229.8,E93,718.3,evehicle,0.8,301.0
veh_2,42.4,joulesD,235.7,E93,712.4,evehicle,0.8,301.5
veh_2,45.8,joulesD,242.0,E93,706.0,evehicle,0.8,302.0
veh_2,50.3,joulesD,249.0,E93,699.0,evehicle,0.8,302.5
veh_2,51.7,joulesD,256.2,E93,691.9,evehicle,0.7,303.0
veh_2,50.8,joulesC,284.9,E93,663.1,evehicle,0.7,305.0
veh_2,51.2,joulesC,292.0,E93,656.0,evehicle,0.7,305.5
veh_2,52.6,joulesC,299.3,E93,648.7,evehicle,0.7,306.0
veh_2,51.2,joulesC,306.5,E93,641.6,evehicle,0.7,306.5
veh_2,51.6,joulesC,313.6,E93,634.4,evehicle,0.7,307.0
veh_2,52.6,joulesC,320.9,E93,627.1,evehicle,0.7,307.5
veh_2,51.2,joulesC,328.0,E93,620.0,evehicle,0.7,308.0
veh_2,51.5,joulesC,335.2,E93,612.9,evehicle,0.7,308.5
veh_2,52.1,joulesC,342.4,E93,605.6,evehicle,0.7,309.0
veh_2,52.4,joulesC,349.7,E93,598.3,evehicle,0.7,309.5
veh_2,51.9,joulesC,356.9,E93,591.1,evehicle,0.7,310.0
veh_2,51.6,joulesC,364.1,E93,584.0,evehicle,0.7,310.5
veh_2,51.4,joulesC,371.2,E93,576.8,evehicle,0.7,311.0
veh_2,51.7,joulesC,378.4,E93,569.7,evehicle,0.7,311.5
veh_2,51.3,joulesC,385.5,E93,562.5,evehicle,0.7,312.0
veh_2,52.0,joulesC,392.7,E93,555.3,evehicle,0.7,312.5
veh_2,51.0,joulesC,399.8,E93,548.2,evehicle,0.7,313.0
